60,7,8,Anya Taylor-Joy
46,5,8,Emma Stone
22,10,9,Lebron James
2,9,5,George W.Bush
57,9,8,Serena Williams
29,7,8,Tom Holland
54,9,9,Julia Roberts
44,5,6,Cate Blanchett
39,9,8,Scarlett Johansson
13,9,8,Denzel Washighton
5,10,7,Lionel Messi
16,4,7,Hugh Jackman
36,8,7,Lady Gaga
43,9,8,Maria Sharapova
49,3,6,Olivia Rodrigo
10,9,8,Bruce Willis
25,10,9,Robert De Niro
6,10,8,Arnold Schwarzeneger
28,10,8,Dwayne Johnson
32,8,9,Anne Hathaway
19,9,7,Nicolas Cage
27,9,9,Keanu Reeves
33,7,8,Simone Biles
47,8,8,Hillary Clinton
3,10,10,Roger Federer
40,4,7,Gal Gadot
42,9,8,Greta Thunberg
4,10,8,Cristiano Ronaldo
52,9,9,Emma Watson
7,8,7,Ben Affleck
55,8,8,Charlize Theron
30,10,8,Tom Cruise
8,10,8,Brad Pitt
31,5,8,Sandra Bullock
58,8,9,Nicole Kidman
41,8,8,Ariana Grande
59,9,8,Michelle Obama
12,8,7,Daniel Radcliffe
34,10,8,Angelina Jolie
50,10,8,Millie Bobby Brown
23,10,8,Ryan Gosling
45,9,8,Jennifer Aniston
9,8,7,Bradley Cooper
35,8,9,Adele
26,10,9,George Clooney
1,10,6,Leonardo Di Caprio
14,10,8,Daniel Craig
21,7,8,Henri Canvill
11,5,7,Chris Evans
51,10,8,Margot Robbie
37,7,8,Natalie Portman
48,1,6,Jennifer Lawrence
38,8,6,Taylor Swift
15,10,8,Harrison Ford
18,10,8,Jason Statham
56,4,6,Reese Witherspoon
53,3,6,Keira Knightley
17,5,8,Hugh Jackman
24,8,8,Ryan Reynolds
20,10,8,Matt Damon
