49,8,9,Olivia Rodrigo
39,3,5,Scarlett Johansson
53,5,5,Keira Knightley
8,7,5,Brad Pitt
35,7,7,Adele
58,7,5,Nicole Kidman
6,5,5,Arnold Schwarzeneger
12,9,5,Daniel Radcliffe
20,2,5,Denzel Washighton
29,8,8,Tom Holland
33,8,9,Simone Biles
28,8,7,Dwayne Johnson
26,9,7,George Clooney
5,8,5,Lionel Messi
7,2,5,Bruce Willis
9,5,5,Bradley Cooper
22,3,5,Lebron James
32,7,6,Anne Hathaway
18,2,5,Jason Statham
52,9,9,Emma Watson
51,5,5,Margot Robbie
55,4,5,Gal Gadot
2,3,5,George W.Bush
45,9,7,Jennifer Aniston
59,9,9,Michelle Obama
41,9,7,Ariana Grande
15,4,5,Harrison Ford
1,9,5,Leonardo Di Caprio
54,8,7,Julia Roberts
40,5,5,Gal Gadot
25,5,5,Robert De Niro
38,9,9,Taylor Swift
56,5,5,Reese Witherspoon
30,3,5,Matt Damon
4,6,3,Cristiano Ronaldo
13,5,5,Denzel Washighton
31,7,5,Sandra Bullock
42,9,6,Greta Thunberg
60,7,7,Anya Taylor-Joy
11,5,5,Chris Evans
21,6,5,Matt Damon
34,9,7,Angelina Jolie
36,9,8,Lady Gaga
17,7,5,Hugh Jackman
24,9,9,Ryan Reynolds
50,9,9,Millie Bobby Brown
43,5,5,Maria Sharapova
14,9,5,Daniel Craig
23,9,8,Ryan Gosling
44,7,5,Cate Blanchett
16,3,5,Ewan McGregor
19,6,5,Nicolas Cage
46,9,9,Emma Stone
27,9,9,Keanu Reeves
3,10,7,Roger Federer
48,9,7,Jennifer Lawrence
10,1,5,Henri Canvill
37,1,5,Nathalie Portman
57,8,7,Serena Williams
47,8,7,Hilary Clinton
