24,10,9,Ryan Reynolds
48,10,6,Jennifer Lawrence
30,5,4,Tom Cruise
60,10,8,Anya Taylor-Joy
12,10,8,Daniel Radcliffe
11,9,10,Chris Evans
4,9,2,Cristiano Ronaldo
39,10,10,Scarlett Johansson
32,10,10,Anne Hathaway
41,10,6,Ariana Grande
13,5,7,Denzel Washighton
44,4,5,Cate Blanchett
55,7,6,Charlize Theron
17,2,8,Jason Statham
50,8,6,Millie Bobby Brown
35,10,8,Adele
20,10,7,Matt Damon
3,3,3,Roger Federer
31,10,7,Sandra Bullock
47,10,6,Hilary Clinton
28,10,9,Dwayne Johnson
57,3,6,Serena Williams
7,6,8,Ben Affleck
6,9,3,Arnold Schwarzeneger
25,4,5,Robert De Niro
33,9,6,Simone Biles
9,9,8,Bradley Cooper
53,10,8,Keira Knightley
52,10,7,Emma Watson
23,10,8,Ryan Gosling
37,8,8,Nathalie Portman
19,8,6,Nicolas Cage
15,3,2,Harrison Ford
49,8,7,Olivia Rodrigo
16,3,7,Jason Statham
40,4,7,Gal Gadot
5,8,2,Lionel Messi
8,9,6,Brad Pitt
10,4,5,Daniel Craig
51,10,10,Margot Robbie
34,10,5,Angelina Jolie
2,10,3,George W.Bush
54,10,9,Julia Roberts
21,10,9,Henri Canvill
38,10,7,Taylor Swift
29,3,5,Tom Holland
45,10,10,Jennifer Aniston
22,2,2,Lebron James
43,4,8,Maria Sharapova
1,10,6,Leonardo Di Caprio
27,10,10,Keanu Reeves
18,3,2,Jason Statham
26,10,6,George Clooney
46,10,8,Emma Stone
42,10,6,Greta Thunberg
56,10,9,Reese Witherspoon
58,10,4,Nicole Kidman
14,8,8,Daniel Craig
36,10,8,Lady Gaga
59,10,9,Michelle Obama
